"ego_id","alter_id","ego_section","alter_section"
15,63,"SP25-MSBR-70340-01","SP25-MSBR-70340-01"
15,35,"SP25-MSBR-70340-01","SP25-MSBR-70340-01"
15,11,"SP25-MSBR-70340-01","SP25-MSBR-70340-01"
15,14,"SP25-MSBR-70340-01","SP25-MSBR-70340-01"
15,37,"SP25-MSBR-70340-01","SP25-MSBR-70340-01"
15,65,"SP25-MSBR-70340-01","SP25-MSBR-70340-02"
15,13,"SP25-MSBR-70340-01","SP25-MSBR-70340-01"
15,49,"SP25-MSBR-70340-01","SP25-MSBR-70340-01"
15,52,"SP25-MSBR-70340-01","SP25-MSBR-70340-02"
15,25,"SP25-MSBR-70340-01","SP25-MSBR-70340-02"
15,20,"SP25-MSBR-70340-01","SP25-MSBR-70340-02"
16,5,"SP25-MSBR-70340-02","SP25-MSBR-70340-01"
16,51,"SP25-MSBR-70340-02","SP25-MSBR-70340-01"
16,6,"SP25-MSBR-70340-02","SP25-MSBR-70340-01"
16,63,"SP25-MSBR-70340-02","SP25-MSBR-70340-01"
16,24,"SP25-MSBR-70340-02","SP25-MSBR-70340-01"
16,35,"SP25-MSBR-70340-02","SP25-MSBR-70340-01"
16,12,"SP25-MSBR-70340-02","SP25-MSBR-70340-01"
16,64,"SP25-MSBR-70340-02","SP25-MSBR-70340-01"
16,57,"SP25-MSBR-70340-02","SP25-MSBR-70340-01"
16,37,"SP25-MSBR-70340-02","SP25-MSBR-70340-01"
16,65,"SP25-MSBR-70340-02","SP25-MSBR-70340-02"
16,40,"SP25-MSBR-70340-02","SP25-MSBR-70340-01"
16,19,"SP25-MSBR-70340-02","SP25-MSBR-70340-01"
16,21,"SP25-MSBR-70340-02","SP25-MSBR-70340-02"
16,16,"SP25-MSBR-70340-02","SP25-MSBR-70340-02"
16,41,"SP25-MSBR-70340-02","SP25-MSBR-70340-02"
16,55,"SP25-MSBR-70340-02","SP25-MSBR-70340-02"
16,61,"SP25-MSBR-70340-02","SP25-MSBR-70340-02"
16,52,"SP25-MSBR-70340-02","SP25-MSBR-70340-02"
16,56,"SP25-MSBR-70340-02","SP25-MSBR-70340-02"
16,32,"SP25-MSBR-70340-02","SP25-MSBR-70340-02"
16,10,"SP25-MSBR-70340-02","SP25-MSBR-70340-01"
16,17,"SP25-MSBR-70340-02","SP25-MSBR-70340-01"
16,23,"SP25-MSBR-70340-02","SP25-MSBR-70340-01"
16,4,"SP25-MSBR-70340-02","SP25-MSBR-70340-01"
16,27,"SP25-MSBR-70340-02","SP25-MSBR-70340-01"
16,48,"SP25-MSBR-70340-02","SP25-MSBR-70340-01"
16,59,"SP25-MSBR-70340-02","SP25-MSBR-70340-02"
